DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/08/2023,I1,1575.13,1,WARA,WARA1,Injector
02/09/2023,I1,1435.0,1,WARA,WARA1,Injector
02/10/2023,I1,2136.0,1,WARA,WARA1,Injector
02/11/2023,I1,2032.0,1,WARA,WARA1,Injector
02/12/2023,I1,2351.0,1,WARA,WARA1,Injector
31/12/2023,I1,2562.0,1,WARA,WARA1,Injector
02/12/2015,I2,0.0,1,WARA,WARA1,Injector
02/01/2016,I2,1810.26,1,WARA,WARA1,Injector
02/02/2016,I2,1320.13,1,WARA,WARA1,Injector
02/03/2016,I2,626.0,1,WARA,WARA1,Injector
02/04/2016,I2,299.0,1,WARA,WARA1,Injector
02/05/2016,I2,1420.0,1,WARA,WARA1,Injector
02/06/2016,I2,1626.0,1,WARA,WARA1,Injector
02/07/2016,I2,1181.0,1,WARA,WARA1,Injector
02/08/2016,I2,1068.0,1,WARA,WARA1,Injector
02/09/2016,I2,1077.0,1,WARA,WARA1,Injector
02/10/2016,I2,1344.97,1,WARA,WARA1,Injector
02/11/2016,I2,1298.35,1,WARA,WARA1,Injector
02/12/2016,I2,1662.33,1,WARA,WARA1,Injector
02/01/2017,I2,1472.32,1,WARA,WARA1,Injector
02/02/2017,I2,1558.97,1,WARA,WARA1,Injector
02/03/2017,I2,1370.0,1,WARA,WARA1,Injector
02/04/2017,I2,1343.87,1,WARA,WARA1,Injector
02/05/2017,I2,1636.0,1,WARA,WARA1,Injector
02/06/2017,I2,1769.0,1,WARA,WARA1,Injector
02/07/2017,I2,1877.0,1,WARA,WARA1,Injector
02/08/2017,I2,1795.0,1,WARA,WARA1,Injector
02/09/2017,I2,1653.77,1,WARA,WARA1,Injector
02/10/2017,I2,1527.0,1,WARA,WARA1,Injector
02/11/2017,I2,1676.97,1,WARA,WARA1,Injector
02/12/2017,I2,1706.0,1,WARA,WARA1,Injector
02/01/2018,I2,1640.84,1,WARA,WARA1,Injector
02/02/2018,I2,1586.19,1,WARA,WARA1,Injector
02/03/2018,I2,1299.0,1,WARA,WARA1,Injector
02/04/2018,I2,1582.55,1,WARA,WARA1,Injector
02/05/2018,I2,1612.0,1,WARA,WARA1,Injector
02/06/2018,I2,1572.32,1,WARA,WARA1,Injector
02/07/2018,I2,1584.0,1,WARA,WARA1,Injector
02/08/2018,I2,1573.35,1,WARA,WARA1,Injector
02/09/2018,I2,1532.74,1,WARA,WARA1,Injector
02/10/2018,I2,1525.0,1,WARA,WARA1,Injector
02/11/2018,I2,1535.13,1,WARA,WARA1,Injector
02/12/2018,I2,1539.0,1,WARA,WARA1,Injector
02/01/2019,I2,1463.94,1,WARA,WARA1,Injector
02/02/2019,I2,1460.68,1,WARA,WARA1,Injector
02/03/2019,I2,1421.0,1,WARA,WARA1,Injector
02/04/2019,I2,1446.16,1,WARA,WARA1,Injector
02/05/2019,I2,1408.33,1,WARA,WARA1,Injector
02/06/2019,I2,1418.61,1,WARA,WARA1,Injector
02/07/2019,I2,1479.0,1,WARA,WARA1,Injector
02/08/2019,I2,1279.65,1,WARA,WARA1,Injector
02/09/2019,I2,1262.0,1,WARA,WARA1,Injector
02/10/2019,I2,1166.0,1,WARA,WARA1,Injector
02/11/2019,I2,788.0,1,WARA,WARA1,Injector
02/12/2019,I2,657.0,1,WARA,WARA1,Injector
02/01/2020,I2,619.742,1,WARA,WARA1,Injector
02/02/2020,I2,668.484,1,WARA,WARA1,Injector
02/03/2020,I2,563.0,1,WARA,WARA1,Injector
02/04/2020,I2,600.0,1,WARA,WARA1,Injector
02/05/2020,I2,553.0,1,WARA,WARA1,Injector
02/06/2020,I2,581.0,1,WARA,WARA1,Injector
02/07/2020,I2,687.0,1,WARA,WARA1,Injector
02/08/2020,I2,449.0,1,WARA,WARA1,Injector
02/09/2020,I2,1935.77,1,WARA,WARA1,Injector
02/10/2020,I2,978.467,1,WARA,WARA1,Injector
02/11/2020,I2,1258.29,1,WARA,WARA1,Injector
02/12/2020,I2,1414.7,1,WARA,WARA1,Injector
02/01/2021,I2,1324.13,1,WARA,WARA1,Injector
02/02/2021,I2,620.065,1,WARA,WARA1,Injector
02/03/2021,I2,795.0,1,WARA,WARA1,Injector
02/04/2021,I2,1111.45,1,WARA,WARA1,Injector
02/05/2021,I2,952.0,1,WARA,WARA1,Injector
02/06/2021,I2,1218.0,1,WARA,WARA1,Injector
02/07/2021,I2,1453.0,1,WARA,WARA1,Injector
02/08/2021,I2,1709.0,1,WARA,WARA1,Injector
02/09/2021,I2,1788.52,1,WARA,WARA1,Injector
02/10/2021,I2,1774.0,1,WARA,WARA1,Injector
02/11/2021,I2,1732.0,1,WARA,WARA1,Injector
02/12/2021,I2,1792.0,1,WARA,WARA1,Injector
02/01/2022,I2,1644.26,1,WARA,WARA1,Injector
02/02/2022,I2,1523.42,1,WARA,WARA1,Injector
02/03/2022,I2,1399.0,1,WARA,WARA1,Injector
02/04/2022,I2,1455.13,1,WARA,WARA1,Injector
02/05/2022,I2,1406.0,1,WARA,WARA1,Injector
02/06/2022,I2,1344.06,1,WARA,WARA1,Injector
02/07/2022,I2,1384.0,1,WARA,WARA1,Injector
02/08/2022,I2,1541.74,1,WARA,WARA1,Injector
02/09/2022,I2,1482.48,1,WARA,WARA1,Injector
02/10/2022,I2,1527.0,1,WARA,WARA1,Injector
02/11/2022,I2,1535.77,1,WARA,WARA1,Injector
02/12/2022,I2,1349.0,1,WARA,WARA1,Injector
02/01/2023,I2,1350.45,1,WARA,WARA1,Injector
02/02/2023,I2,1093.48,1,WARA,WARA1,Injector
02/03/2023,I2,1078.0,1,WARA,WARA1,Injector
02/04/2023,I2,1198.0,1,WARA,WARA1,Injector
02/05/2023,I2,906.2,1,WARA,WARA1,Injector
02/06/2023,I2,1166.97,1,WARA,WARA1,Injector
02/07/2023,I2,1010.0,1,WARA,WARA1,Injector
02/08/2023,I2,968.387,1,WARA,WARA1,Injector
02/09/2023,I2,851.0,1,WARA,WARA1,Injector
02/10/2023,I2,740.0,1,WARA,WARA1,Injector
02/11/2023,I2,931.0,1,WARA,WARA1,Injector
02/12/2023,I2,1058.0,1,WARA,WARA1,Injector
31/12/2023,I2,1036.0,1,WARA,WARA1,Injector
02/12/2015,I3,0.0,1,WARA,WARA1,Injector
02/01/2016,I3,299.742,1,WARA,WARA1,Injector
02/02/2016,I3,924.903,1,WARA,WARA1,Injector
02/03/2016,I3,967.0,1,WARA,WARA1,Injector
02/04/2016,I3,775.0,1,WARA,WARA1,Injector
02/05/2016,I3,772.0,1,WARA,WARA1,Injector
02/06/2016,I3,871.0,1,WARA,WARA1,Injector
02/07/2016,I3,905.0,1,WARA,WARA1,Injector
02/08/2016,I3,825.0,1,WARA,WARA1,Injector
02/09/2016,I3,795.71,1,WARA,WARA1,Injector
02/10/2016,I3,877.2,1,WARA,WARA1,Injector
02/11/2016,I3,876.516,1,WARA,WARA1,Injector
02/12/2016,I3,685.133,1,WARA,WARA1,Injector
02/01/2017,I3,785.871,1,WARA,WARA1,Injector
02/02/2017,I3,1072.06,1,WARA,WARA1,Injector
02/03/2017,I3,928.0,1,WARA,WARA1,Injector
02/04/2017,I3,921.226,1,WARA,WARA1,Injector
02/05/2017,I3,1080.0,1,WARA,WARA1,Injector
02/06/2017,I3,795.0,1,WARA,WARA1,Injector
02/07/2017,I3,810.0,1,WARA,WARA1,Injector
02/08/2017,I3,836.0,1,WARA,WARA1,Injector
02/09/2017,I3,825.968,1,WARA,WARA1,Injector
02/10/2017,I3,825.0,1,WARA,WARA1,Injector
02/11/2017,I3,937.613,1,WARA,WARA1,Injector
02/12/2017,I3,746.0,1,WARA,WARA1,Injector
02/01/2018,I3,709.29,1,WARA,WARA1,Injector
02/02/2018,I3,714.0,1,WARA,WARA1,Injector
02/03/2018,I3,656.0,1,WARA,WARA1,Injector
02/04/2018,I3,557.29,1,WARA,WARA1,Injector
02/05/2018,I3,682.0,1,WARA,WARA1,Injector
02/06/2018,I3,857.161,1,WARA,WARA1,Injector
02/07/2018,I3,837.0,1,WARA,WARA1,Injector
02/08/2018,I3,850.548,1,WARA,WARA1,Injector
02/09/2018,I3,790.226,1,WARA,WARA1,Injector
02/10/2018,I3,827.0,1,WARA,WARA1,Injector
02/11/2018,I3,811.065,1,WARA,WARA1,Injector
02/12/2018,I3,723.0,1,WARA,WARA1,Injector
02/01/2019,I3,810.032,1,WARA,WARA1,Injector
02/02/2019,I3,875.935,1,WARA,WARA1,Injector
02/03/2019,I3,1024.0,1,WARA,WARA1,Injector
02/04/2019,I3,1008.52,1,WARA,WARA1,Injector
02/05/2019,I3,1115.3,1,WARA,WARA1,Injector
02/06/2019,I3,1113.19,1,WARA,WARA1,Injector
02/07/2019,I3,907.0,1,WARA,WARA1,Injector
02/08/2019,I3,731.839,1,WARA,WARA1,Injector
02/09/2019,I3,1064.0,1,WARA,WARA1,Injector
02/10/2019,I3,1208.0,1,WARA,WARA1,Injector
02/11/2019,I3,1270.0,1,WARA,WARA1,Injector
02/12/2019,I3,1226.0,1,WARA,WARA1,Injector
02/01/2020,I3,838.806,1,WARA,WARA1,Injector
02/02/2020,I3,955.161,1,WARA,WARA1,Injector
02/03/2020,I3,1020.0,1,WARA,WARA1,Injector
02/04/2020,I3,923.0,1,WARA,WARA1,Injector
02/05/2020,I3,886.0,1,WARA,WARA1,Injector
02/06/2020,I3,899.0,1,WARA,WARA1,Injector
02/07/2020,I3,868.0,1,WARA,WARA1,Injector
02/08/2020,I3,869.0,1,WARA,WARA1,Injector
02/09/2020,I3,114.742,1,WARA,WARA1,Injector
02/10/2020,I3,398.0,1,WARA,WARA1,Injector
02/11/2020,I3,155.903,1,WARA,WARA1,Injector
02/12/2020,I3,726.933,1,WARA,WARA1,Injector
02/01/2021,I3,836.677,1,WARA,WARA1,Injector
02/02/2021,I3,696.419,1,WARA,WARA1,Injector
