INJECTOR,PRODUCER,ALLOCATION,TAU,TAUP,PRODUCTIVITY,LO,MODEL,ID,R2,BIAS_RATIO,CORRELATION,VARIANCE_RATIO,QUALITY_SCORE,SUBZONE
MG-0289_I,MG-0567_P,0.5972551058546818,3.5227931534118673,1.0,0.0,1.0,OneLayerCRMPSingleConstrained,25,0.9510162858067552,1.0143441871721959,0.9752824421553397,0.9830937375756093,0.9800976587291333,ALLWARA
MG-0380_I,MG-0567_P,6.128670500484963e-06,3.5227931534118673,1.0,0.0,1.0,OneLayerCRMPSingleConstrained,26,0.9510162858067552,1.0143441871721959,0.9752824421553397,0.9830937375756093,0.9800976587291333,ALLWARA
MG-0621_I,MG-0567_P,6.125647272645876e-06,3.5227931534118673,1.0,0.0,1.0,OneLayerCRMPSingleConstrained,27,0.9510162858067552,1.0143441871721959,0.9752824421553397,0.9830937375756093,0.9800976587291333,ALLWARA
MG-0528_I,MG-0579_P,4.935804458626845e-05,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,28,0.9275254977857155,0.9070981637275851,0.9649453244750691,0.9192821822281791,0.9286673408100494,ALLWARA
MG-0578_I,MG-0579_P,0.2687461592930456,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,29,0.9275254977857155,0.9070981637275851,0.9649453244750691,0.9192821822281791,0.9286673408100494,ALLWARA
MG-0582_I,MG-0579_P,0.0015223352262203292,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,30,0.9275254977857155,0.9070981637275851,0.9649453244750691,0.9192821822281791,0.9286673408100494,ALLWARA
MG-0303_I,MG-0581_P,0.9859987236146459,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,31,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0526_I,MG-0581_P,6.128832973514878e-06,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,32,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0528_I,MG-0581_P,0.786109421556062,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,33,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0571_I,MG-0581_P,0.9883277410363883,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,34,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0578_I,MG-0581_P,0.0701268669397106,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,35,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0582_I,MG-0581_P,0.0015534011925672434,0.5,1.0,0.0,1.0000000149011612,OneLayerCRMPSingleConstrained,36,0.8794375689425201,0.8462948557882436,0.943843164388235,0.8911418091816475,0.884954364423451,ALLWARA
MG-0582_I,MG-0583_P,0.2970106971043403,0.5,1.0,0.0,1.0,OneLayerCRMPSingleConstrained,37,0.9136052217399913,0.9015324611118153,0.9566888198695928,0.9453100157333967,0.9257950744192054,ALLWARA
